YEAR,MO,DY,T2M,RH2M,WS50M_MAX,WS50M_MIN,WS50M
1983,5,14,29.18,80.19,5.2,2.62,3.49
1983,5,15,29.08,78.94,5.27,1.3,3.24
1983,5,16,28.7,82.44,5.25,2.62,3.68
1983,5,17,28.98,81.06,5.42,4.5,4.94
1983,5,18,28.71,80.12,5.09,3.27,4.25
1983,5,19,28.94,75.5,5.34,2.44,4.06
1983,5,20,29.42,72.5,5.66,2.41,3.94
1983,5,21,29.53,75.75,4.16,1.08,3.02
1983,5,22,29.78,74.69,4.16,1.22,2.56
1983,5,23,28.74,81.5,3.35,0.78,2.28
1983,5,24,28.36,79.31,4.43,0.77,2.31
1983,5,25,27.73,84.19,5.89,1.85,3.38
1983,5,26,27.89,84.19,5.38,0.5,3.59
1983,5,27,27.55,84,4.43,2.19,3.45
1983,5,28,27.14,85.94,4.77,2.62,3.93
1983,5,29,27.65,83.56,5.9,4.84,5.3
1983,5,30,27.92,78.44,4.65,1.39,3.13
1983,5,31,28.69,77.19,5.8,1.67,3.6
